date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-03-22,119.6529,136.9863,17.3333,17.3333,37.6458,-82.0071,82.0071,117.5452,-2.1078,2.1078,116.3023,-3.3506,3.3506
2025-03-23,88.6667,119.6529,30.9862,30.9862,25.0483,-63.6183,63.6183,103.6417,14.9751,14.9751,109.5577,20.891,20.891
2025-03-24,92.6525,88.6667,-3.9858,3.9858,52.7292,-39.9233,39.9233,82.0022,-10.6503,10.6503,86.6831,-5.9694,5.9694
2025-03-25,71.68,92.6525,20.9725,20.9725,54.7779,-16.9021,16.9021,89.5966,17.9166,17.9166,85.9766,14.2966,14.2966
2025-03-26,57.4725,71.68,14.2075,14.2075,47.4725,-10.0,10.0,68.3669,10.8944,10.8944,64.9597,7.4872,7.4872
2025-03-27,53.8475,57.4725,3.625,3.625,110.4579,56.6104,56.6104,59.853,6.0055,6.0055,56.1403,2.2928,2.2928
2025-03-28,66.125,53.8475,-12.2775,12.2775,136.9863,70.8613,70.8613,57.3636,-8.7614,8.7614,51.3839,-14.7411,14.7411
2025-03-29,56.2638,66.125,9.8613,9.8613,119.6529,63.3892,63.3892,67.46,11.1962,11.1962,51.8344,-4.4294,4.4294
2025-03-30,23.7362,56.2638,32.5275,32.5275,88.6667,64.9304,64.9304,56.5297,32.7934,32.7934,47.2298,23.4936,23.4936
2025-03-31,35.8892,23.7362,-12.1529,12.1529,92.6525,56.7633,56.7633,30.7165,-5.1727,5.1727,43.3048,7.4156,7.4156
2025-04-01,55.6525,35.8892,-19.7633,19.7633,71.68,16.0275,16.0275,45.6898,-9.9627,9.9627,52.5103,-3.1422,3.1422
2025-04-02,101.4721,55.6525,-45.8196,45.8196,57.4725,-43.9996,43.9996,58.0508,-43.4213,43.4213,66.0107,-35.4614,35.4614
2025-04-03,90.3475,101.4721,11.1246,11.1246,53.8475,-36.5,36.5,95.6349,5.2874,5.2874,92.2109,1.8634,1.8634
2025-04-04,72.8612,90.3475,17.4863,17.4863,66.125,-6.7362,6.7362,79.9588,7.0976,7.0976,89.2979,16.4366,16.4366
2025-04-05,64.9862,72.8612,7.875,7.875,56.2638,-8.7225,8.7225,70.3869,5.4007,5.4007,62.5599,-2.4263,2.4263
